task, time
target, 1.88073712495517
addition, 2.76676982755187
addition, 2.1010621526305
target, 2.25784594086268
target, 1.80108918807323
addition, 2.68171964469135
target, 1.97968624417732
addition, 2.39684415569958
target, 1.94122401082958
addition, 3.05679542069443
target, 2.22832337453786
addition, 3.25417933523857
addition, 1.62491702632253
target, 2.07064406423578
target, 1.80116719599135
addition, 2.67124456282736
target, 2.06241046145973
addition, 3.19130880806608
target, 2.0845186299025
addition, 3.17688209403865
target, 1.8796262921891
addition, 2.80635511276027
target, 2.18395513804057
addition, 2.24845910560166
target, 2.04687704516782
addition, 2.7163113108519
target, 1.90071180692329
addition, 2.83964904635739
target, 2.0661684337768
addition, 3.08115613499824
target, 1.99100519921457
addition, 2.90715266351257
addition, 2.04943652900816
target, 2.12206530772356
target, 2.18606829930647
addition, 2.63830293312735
target, 1.74100668890611
addition, 2.76172855813112
target, 2.19313536204964
addition, 3.22614265478268
target, 1.91041191491768
addition, 2.80809817950327
addition, 1.68075629808985
target, 2.0906108417648
target, 2.26950825495292
addition, 3.42245768705893
target, 1.76661653952527
addition, 3.24395184028154
target, 1.86828138833165
addition, 2.65194017466239
target, 2.04909965616618
addition, 2.8607259844857
addition, 1.43204528023974
target, 1.88449765250193
target, 1.94545352038006
addition, 3.31051911670655
target, 2.10565581490296
addition, 3.21797242852033
target, 1.7887435133978
addition, 2.96085205125728
target, 1.88552690352308
addition, 2.44370521262501
addition, 2.07013012189797
target, 2.12670514834315
target, 1.78842437195199
addition, 2.77854090198041
target, 2.37199057923973
addition, 3.43801877393582
target, 2.03456248459355
addition, 2.79218636393047
target, 1.88591074112443
addition, 2.23460149813215
target, 1.97211666245724
addition, 2.27753236701564
target, 1.88360362645182
addition, 2.91103695122924
target, 1.99430989635818
addition, 3.14095637861976
target, 1.87097081259355
addition, 2.27875834638358
target, 1.8051171330334
addition, 2.82507083597244
target, 2.31825605406287
addition, 2.324975204581
target, 1.79987616180361
addition, 2.68435850573377
target, 1.91301064952303
addition, 2.82691180053029
target, 1.92790816002841
addition, 2.36302768851388
target, 2.05285100097872
addition, 3.36046884122526
target, 2.20308219141489
addition, 2.23668567991834
target, 2.03604654563739
addition, 3.18305795392325
addition, 2.33460971084205
target, 2.88719314688807
target, 1.76505940060922
addition, 2.62261858492591
target, 1.89366692029457
addition, 2.32923459008811
addition, 2.21348146359633
target, 2.43744773146693
target, 1.9550966479007
addition, 2.98186270239692
target, 2.29619305387165
addition, 2.39004721580196
target, 2.01239222872146
addition, 2.40780122152342
target, 2.13157245945891
addition, 3.15906178200239
target, 2.22101366804357
addition, 2.27809283040414
target, 1.95523013098254
addition, 2.82641404018323
addition, 2.14219969793426
target, 2.16900359210044
target, 2.01609758133154
addition, 2.56119191059652
target, 2.00961981214764
addition, 2.92356667043612
target, 1.94047032160668
addition, 3.13339509257516
target, 2.20084923780931
addition, 2.62272483661786
addition, 1.58504435662675
target, 2.10175529843448
target, 1.91415656171992
addition, 2.94814535936468
target, 1.8974654792631
addition, 2.32073451315123
target, 1.99736408766412
addition, 2.93131302162491
target, 1.79215553703882
addition, 3.02674123322635
addition, 1.71189177328464
target, 2.1893675536796
target, 2.19447525962632
addition, 3.0553425353388
target, 1.90060587116608
addition, 3.20558923484933
target, 1.83378146082301
addition, 2.66838599938698
target, 1.87519240111845
addition, 2.26632882311676
target, 3.06845968704871
addition, 3.20778039762011
target, 2.21099353915844
addition, 2.79858585540918
target, 1.81915679666055
addition, 2.63878197770426
target, 1.99778855488279
addition, 3.45851970238411
target, 1.95955892969687
addition, 2.48083537498597
addition, 1.9741596648936
target, 2.11686466480365
target, 1.7787928729955
addition, 2.74808307429239
target, 1.81923145128034
addition, 3.0381951719958
target, 1.99874567357874
addition, 2.5034056233106
target, 1.85763779514593
addition, 2.75570125770018
addition, 1.62608389773047
