task, time
addition, 2.16944884983685
target, 2.46944884983685
addition, 2.4576367906956
target, 2.7576367906956
target, 1.64096205917522
addition, 2.22168673405106
target, 1.92158151084917
addition, 2.61337127461564
target, 1.94860123302824
addition, 3.09337858338186
target, 1.92844033397692
addition, 2.50057201271032
target, 1.96992742621627
addition, 2.80400998900112
target, 1.66902747800634
addition, 2.49804847287561
target, 1.83885343743724
addition, 2.40270808372643
addition, 2.14624267211947
target, 2.44624267211947
target, 1.72098907095927
addition, 2.70799104281968
target, 1.61873167061038
addition, 2.54880559994885
addition, 1.65816087184224
target, 1.95816087184224
target, 1.81749167835569
addition, 3.01621426756162
target, 2.08795813686512
addition, 2.37425221376896
target, 2.24890349770496
addition, 2.51196775224091
target, 1.72600788869056
addition, 2.06231109346165
target, 1.85746305605684
addition, 2.19018444965092
target, 1.79416757527737
addition, 2.41691532229161
target, 1.90828402261738
addition, 3.16846096646359
addition, 1.82913641431394
target, 2.12913641431394
target, 1.76200367869286
addition, 2.48561734207756
addition, 1.83193571546408
target, 2.16449358974403
target, 1.52781030103722
addition, 2.70078173664656
target, 1.99175267087845
addition, 3.15591003154203
target, 2.0015097737289
addition, 2.78000621193016
target, 1.81423601563287
addition, 2.68264905408995
target, 1.69762186378745
addition, 1.84476343783671
target, 1.71357255557055
addition, 4.17521659140893
target, 1.86324853799569
addition, 2.36842053145093
target, 1.69779616642042
addition, 2.64185968115113
target, 1.90954302987674
addition, 2.87393844537978
target, 1.83526532391066
addition, 2.74697038681614
target, 2.31350348486596
addition, 2.53864666039848
target, 1.77895414447456
addition, 2.22632448499575
target, 1.75624754690768
addition, 2.88961607669533
target, 1.53593941011582
addition, 2.20523273987937
target, 1.73021242573172
addition, 2.41429838896968
target, 1.83959809463721
addition, 3.23898237437487
target, 1.67582596883871
addition, 2.59532059644532
target, 1.90301095099101
addition, 2.59820842240148
target, 1.94617703514074
addition, 3.02782762999352
target, 1.55591564381122
addition, 2.05976997239041
target, 1.78336673799907
addition, 2.87016644397934
target, 2.3217383132323
addition, 3.00927180824435
target, 2.23845165806459
addition, 2.96439661247581
target, 1.72834378627482
addition, 2.39371711474071
target, 1.86054622262868
addition, 2.65473594209245
target, 1.73540988719782
addition, 2.72281953177733
target, 1.64276092331762
addition, 2.73885873465853
target, 2.75826824340309
addition, 3.65506060482046
target, 2.0949139505288
addition, 2.79402344854919
target, 1.95913306618747
addition, 2.6063560043371
target, 1.84574413663191
addition, 2.82335296096664
target, 1.88938630579401
addition, 2.69746626713995
target, 1.90261320596558
addition, 2.63393946991727
addition, 2.11122745305767
target, 2.41122745305767
target, 2.12543877462244
addition, 2.38776398628844
addition, 2.45789438638369
target, 2.75789438638369
target, 1.79890328928153
addition, 2.65336450095503
target, 1.82951032489743
addition, 2.77823999196024
target, 1.72828437051333
addition, 2.42900254241687
target, 2.00439187416548
addition, 2.6128425526701
target, 1.70138308446299
addition, 2.93684502644678
target, 1.92010547736103
addition, 2.32742107739466
target, 1.69440219076502
addition, 2.53082438134322
target, 1.70147166402386
addition, 2.88537900679901
target, 1.74060557389783
addition, 2.43653257749366
target, 1.80331978248299
addition, 3.08716391519053
target, 1.87143834336906
addition, 3.17471420146714
target, 1.84237029859693
addition, 2.4865775649751
target, 1.85400663506899
addition, 2.68976385037123
target, 1.76428784754044
addition, 2.5903374504039
target, 1.68293839506104
addition, 2.41807495578388
target, 2.59969376221555
addition, 3.59372058035185
target, 1.74613733181551
addition, 2.6134165369175
target, 2.07634166056263
addition, 3.25617484115971
target, 1.9242872862847
addition, 2.59209491555849
target, 1.96723171487722
addition, 3.29221914804881
