type, prep, exec, finish
move-cursor, 0.2, 0.215812915316158, 0.265812915316158
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.288137302021017, 0.338137302021017
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.176718735941935, 0.226718735941935
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.225935914022732, 0.275935914022732
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.111695845150385, 0.161695845150385
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.233772694988645, 0.283772694988645
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.237879403147867, 0.287879403147867
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.329262101194544, 0.379262101194544
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.35618374348387, 0.40618374348387
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.328847925297816, 0.378847925297816
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.275930212193177, 0.325930212193177
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.30921310185877, 0.35921310185877
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.343353077081396, 0.393353077081396
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.300254855224368, 0.350254855224368
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.157612225386535, 0.207612225386535
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.210892714203489, 0.260892714203489
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.126830358222046, 0.176830358222046
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.33049873199756, 0.38049873199756
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.193767963818156, 0.243767963818156
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.208854436269913, 0.258854436269913
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.277300244474137, 0.327300244474137
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0802215577501334, 0.130221557750133
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.193497688711194, 0.243497688711194
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.147887854792365, 0.197887854792365
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.177520114372115, 0.227520114372115
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.328665417227878, 0.378665417227878
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.222644440340406, 0.272644440340406
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.399438665747735, 0.449438665747735
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.200270123207381, 0.250270123207381
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.331633236774898, 0.381633236774898
click-mouse, 0.15, 0.01, 0.1
